comment_text,is_toxic
theiir arty saved him,0
121 tourist?,0
t100,0
shut up stupid USA,1
trcked,0
3min,0
ebr here,0
shh shhh,0
where did that arty shot come from?,0
oh foch,0
nvm,0
logic,0
who are you?,0
fzuu,0
gl guys,0
you fucking idiot,1
такса,0
smv that was a retarded move,1
i keep tiger busy,0
fck you,1
fukin loser bastrads,1
so stupid,1
omg rhm,0
u good in there?,0
we will lose,1
oof,0
fkn worthless amx13 scout,1
t30 what are u waiting for?,1
you dont have pref mm,0
SEND REPLAY TO WG ... EBR BANED,0
gr8,0
victori bro,0
2meds 1td against 1 light,0
FUCK AMX 500 B,1
не берите,0
leo pls run away and stay alive,0
arty???,0
15 mins,0
super,0
-_-,0
no splashed,0
back t44,0
wtf 112,0
chaffee wtf ???,1
i have no hitpoints to spare,0
bc arty go spot,0
best team ever,0
help me i side,0
ha haaa,0
8K spot,0
vroummmmm,0
"Tekboom[3DBFL] (Obj. 268/4), you are on my line of fire! Get off!",0
6289 heavy flanking,0
dont tell me that you need me there,0
stop playing the cheaters!!!,1
stubborn bot won‘t let me move,1
cori uninstal wot,1
fuckimg,1
normal,0
пидапрская тима,1
idiot foche,1
FUCKING BLOCK,1
DECAP,0
я сток просто,0
T95 move your *** up front,1
closer,0
you dont actually die...,0
IDIONS BAZA!,1
2 ебаната,0
live,0
and vz looking in the wall,0
this tank ******* sucks with the huge *** weakspot on the top,1
i hope püushing me was worth it ...,0
just dont play it,0
NOW,0
stop su,0
Лео ты петух,1
he did,0
you winn idiot,1
time go plz,0
ur hulldown,0
obj 277 how did u get to tier X when u sniping with heavy almost full hp,0
yes yes,0
P U S H,0
есть толковый светляк?,0
вз не грай в цю гру,1
tzhx,0
suck\,1
DONT COME,0
ConquerorGC hit me,0
what about me?,0
lemings,0
<font color='#f8f400'>TheAmiableReaper[BABNS] (T-34-85),0
in first minute of batlle you die,0
JEBANA ARTYLERIA KURWA,1
пзд,0
team camper,0
apcr apcr,0
whos better now ?,0
2 misses on arty lol,0
2 ammoracks,0
Good luck Monkeys :*,0
nice job!,0
t10 go for line 1,0
gold spammers,1
sorry por no hacer nada,0
GET IN THERE IS 3,0
spotters please dont die early,0
T71?,0
omg t34,0
so does campaing missions,0
sobie,0
"warda30 (50TP), you are blocking my target!",0
"yes, cry for help and do nothing",0
oook!,0
we loose then,0
holy mother ucker,1
pls no,0
kurva anyádat te szemét!!!!,1
fired like 12 rounds this game. I HIT FUCKING ONE,1
meds i hope,0
stupid shit,1
cheating bot shyte,1
"щищ, гору полетели",0
m22?,0
OLENI UDI S BAZI,0
lion moiron,1
awwwwwwww,0
report hidex,0
или это подстава?,0
report amx,0
droidok,0
Засвет в квадрате J5!!!,0
gtg,0
so?,0
pfff,0
pretty sure im da youngest den,0
all in bushes?,0
od mojej strony jedzie kv4 uwaga,0
fokk,0
there 3 players on that side,0
i cant really go,0
minotauro is there,0
maybe m10 rbfm?,0
УЙДИ С БАЗЫ,0
cry me a river you won‘t get any help,0
spopttting for nobody,0
u????aaa,0
kill ebr,0
very slow,0
я не поеду налево,0
g guys,0
best game so far,0
ill help ya,0
moin,0
they spot me,0
get els,0
shut up ru kid,1
what are their HPs?,0
hjellcat pls,0
fck this I wont spot for u,1
not bad folks you have them on hit points,0
"sorry guys, I should have stayed put",0
you are own your own now KV2,0
death,0
both grile not in range,1
ис7 олень стоял,0
its a derb gun,0
where he shot you from,0
plis dont cap,0
ha ha,0
блядь,0
2 дебіла,1
don't stay,0
*** you morons,1
report the vk he‘s trolling arty,1
plz learn the game and go back to tier 3 VZ,0
Spotted at G0!,0
сукаааааааааааа,1
hellcat,0
*********,1
WAIT dont PUSH,0
TEAM KILLERS !!!!,1
best game of my life,0
PETUHI,1
25 шанс есть,0
3 ********,0
now enjoy,0
patience,0
not sure exactly where,0
right here,0
2.4 running,0
там арта,0
:d,0
plsss pllsss m4 moddd playerrss,1
go help linx,0
centre,0
4 shels left,0
ALL ARTA DEAD!!!!,0
wake up arty,0
when they made progeto heady tank with op armor?,0
nice gg anyway :],0
t57 dont stay there,0
fucks sake,1
"Rheinlaender1 (Leopard 1), you are blocking my target!",0
Bot,1
705a,0
geez just a little support,1
\gg,0
decap and maybe run,0
next lepra team,1
now it finish,0
"Pio_2019_pl (HT No. VI), не мешай стрелять!",0
crrit,0
pushh,0
:?,0
l,0
YES!!,0
зараз його вихбуть,0
one of their better dead.,0
pinchews pajerosw,0
соси мраз,0
don‘t be stupid,1
gsor can u spot pls,0
mucking fuppets and cupid stunts,1
useless blind TDs,1
"this thing has no right to have good view range, but it does :)",0
tnx,0
well fck,1
kv3 take shot,0
u still got the most viewrange bis that leo,0
кс тащи,1
ha ha ha idiot,1
try to survive,0
GJ scouts ...,0
the slowest tank that left,0
here is the music why is no one shooting,0
go drink some water,0
move cap,0
upsi,0
hellooo???,0
"tak, tak",0
get skorp,0
the two tds right here,0
nicw,0
̈,0
gg super hellcat,0
look at this,0
all good ?,0
wait....,0
NOT one at a time,0
your welcome,0
i won,0
oh yes,0
"leopard you are a legend, a visionary, I love you",0
bro fv,0
tem full of bots,0
"Fafejti (Bourrasque), you are blocking my target!",0
"yeah, you did well. NOT",0
best ism thx for doing your job,0
cent or t25 force cap pls,0
just keep it trapped,0
scagon,0
SPOT,0
finish t34 first,0
дякую,0
иди убейся,1
arty dous not have angle,0
вазелин устроит ??,0
dont talk bs,1
no sure,0
shaking rn,0
get good then dont blame others,0
"skycancer, fuck yeah",1
me?,0
Im Spotted at F4! SOS!!!,0
вввввввввввввввввввввввц,0
Засвет в квадрате G1!!!,0
indien dog,1
in a way,0
Now LUCHS is half as lucky,0
stand still and spott E 4,0
ther ts-5 ans bour ?,0
ololo,0
xdddd,0
what a next team omg,0
yawn u done?,0
no that is pro player,0
fv next,0
yall tired of that joke yet? lol,0
lol can‘t pen the side,0
stupid lag,1
grow some balls,1
u run to enemy spaw and ask for help XD,0
FV304 hit me,0
u got time,0
you can onyl shoot valley,0
арта моя)),0
"WG keeps stacking the enemy side, i guess that‘s what the new pref mm means",0
cuz i didnt know he was literally pushing you,0
our T21 and the Hellcat are the village idiots,1
HALOOOOOOOO,0
just fuicking delete heat,1
"dont push guys, the heavies are coming right to us",0
fucking aids,0
i mean i spotted 1277,0
SPOT VK,0
shoot,0
Bien reçu,0
and franz?,0
stg,0
not 10k,0
play alone,0
I also like this mm,0
35000 battles in lights tells the true!!!,0
fucking trash team,1
no td's,0
and still out damaged you,1
got more dmg than u pal,0
wez se dpgi rob na 113,0
I am spotted at E9!,0
need info ts5,0
"just get to him, as long as he didnt abandon the match you can fix it together with im",0
ху е та,0
60 tp *****,0
come up arty,0
just,0
look ayt,0
told you,0
ts there,0
amx full speed ahead,0
2 minuts -_-,0
"конь, да ты даешь...",0
just wait for him,0
FV cap,0
sorry man,0
я вах,0
Enemy SPG <font color='#f8f400'>sp0ks (S-51),0
dont leave the flank open,0
arty at a3,0
i tell you 3 times to come back,1
kostki,0
click better than their clickers :),0
я подеду,0
sure he pens me,0
gl hf all,0
progetto\,0
sorry i thought it was elsewhere,0
do NOT cap,0
lol what‘s his problem?,0
or 950,0
bro !!,0
finished mine yesterday,0
retard team was,1
what he did??,0
sp,0
cap arties,0
nope,0
ebaaa,0
go be a bot somewhere else ae1,1
ждем,0
skorp,0
GGGGG,0
u can move up now,0
jebo ti svoju mater glupu idi igraj tetris,1
where are you going...,0
112 = bot,0
Kunze is MVP,0
twoja stara ma parkinsona e tak sie bujasz tym czolgiem niedojebancu pierdolony,1
Report all Coward and Loser N9ing,1
i have only 3 fingers,0
dont show yer asss Rudy,0
gj s conq,0
hit him once,0
*** camper,0
arty over there,0
enemy will die there pls,0
i have damaged view range,0
good shot,0
anyone going left,0
фошг пидр,1
monkey team,1
152 and somua,0
ahahha,0
"MadeHR (Obj. 777 II), you are blocking my target!",0
two,0
Say the top noob of game...,1
fghzf,0
Both scouts in valley. Fabulous,0
Засвет в квадрате A0!!!,0
4v1,0
loser idiot shit of player,1
i told you becarful of him,0
are you really so bad?,0
what do amx???,0
now that is understandable,0
dam,1
being a top tank certainly is a delimia,0
do it in base,0
лт соскі,0
він мене перший стопанув,0
wow nice wt,0
wehy did u do that,0
ohhh,0
fucking idiot,1
ggw,0
****** cocuklşarı nanaızı skm,1
best idiot t34-85,1
fucking team,1
useelss,1
for snipe,0
9,0
this sucks,1
BUY BRAIN KIDS,1
cap ffs,1
why u even play this game kid,1
udes :'D,0
other lights?,0
gj Maus,0
arty wtf,0
i give 2 fcks about u idc,1
next retard team,1
cent here,0
i‘m not searching a bourrasque with heavies,0
its made of paper,0
"grats, have fun",0
jpanther,0
YOU NEED TO BE SPOTTING THE FUCKING 0 LINE T54,1
t50,0
move up pt 28,0
video sended,0
"yes, all losers one side",1
stay back!!,0
0 свети сукаа,0
it was hard xd,0
wpgg,0
need do something,0
nic,0
learn support forst before capping,0
Stug has derp gun,0
а что мне делать тту?,0
"weekend obts, how's it going?",0
showdown,0
NO BOT,1
gj char,0
10k spot,0
*heavy noob,1
thats all,0
not rlly,0
go kill arta,0
this is big cross fire,0
COMPLETE MONGRELS,1
etf,0
i spot for ys,0
kk thats what i thought,0
it's prokho,0
MOOOOOOOOVE,0
wrapakcl and aimbot usre,0
Засвет в квадрате C6!!!,0
"oh well, i got my missions done",0
imma just,0
need block mission :*,0
WAKE UP,0
"I am happy, because there arent any artyes",0
stay with the team,0
we got all the bots thanks mm and gj churchill,0
#,0
pp??s,0
vz55 one shot,0
we lost left side,0
murder,0
take the shot,0
mfaker,1
Меня засветили в C7!,0
13 90,0
pog,0
готов спорить футур с 0 урона,0
gg ligt,0
valint go enemy base,0
yeah i m a scout,0
better win,0
report setler,0
yea bot,0
xo,0
def play over medss,0
nevadí,0
I am spotted at H4!,0
This is done up,0
run hwk,0
go defense,0
this is my skirmish tank,0
we losing this for sure,0
what a fu cking w hore,1
долбоёб,1
ha tfu,0
"first totall debil, gj",1
Засвет на E4!!!,0
no let them go,0
go kjys,1
T 29 be careful,0
you are in time i guess,0
шлюшки,1
maus?,0
tttttt,0
picking flowers wont win this,0
такі реалії рандому,0
why all on one side?,0
nicve,0
MOD PLAYER,0
lol the enemy arty is *** also,1
gj type 59,0
cc///,0
баран,1
heavys??,0
stay behind rock tho,0
*facepalm*,0
h8 help meee,0
mamu vam jbem usta ja,1
че там,0
u fucking idiot,1
will check,0
sorry arty fuck me hard,0
"PUTIN_MY_PRESIDENT (AMX ELC bis), you are blocking my target!",0
how r they not dead,0
stop go back,0
дегенераты сука,1
jderrrr,0
взвод прими,0
u will take a blind shoot,0
it's chess,0
i hate this map for the GC,0
jakie studia?,0
flanc l'ouest mes amis,0
tree falls,0
x,0
nice cover hill nobs,1
yes nice elc,0
Im Spotted at A4!,0
good luck u gu6ys,0
2 med,0
too many camper,1
great spot,0
literal clowns,1
CAP bro,0
idiot k91,1
he got 3 free kills,0
imbecil spot,1
"I need spots, Im blind",0
pls no cap,0
8.4k damage :(,0
imagine camp with t95 on redline,0
i wouldve died i got rushed,0
work HTs,0
tank as much as u can,0
waitt,0
full gold,0
здох блять потому что с горы скатился,1
GL TEAM!!,0
what a waste of mobility when he barely moved,0
yeah great game.,0
"8,3k dmg",0
"Sacrificial Lamb, reporting for duty o7",0
russia Idiot Maus??,1
tornvagn,0
viel Erfolg,0
rly?,0
axaxa,0
yesss,0
hummel is close,0
ht more dangerous,0
lef,0
forcing me to take 3 shots from gsdr,0
imbecil,1
lemming train loss surprise!,0
u did bes,0
"t103, go",0
Hmm,0
O_HO!,0
good try...nice reset,0
ебр по центру расватку покажи плиз,0
alt+f4,0
REALLY,0
MRS IDIOTE,1
kill the RHM first,0
leo take hill,0
push gssor wreck,0
speed spot,0
nur wixxer in die dreck können und nicht aufrauchen,0
2vs1 thats how he died,0
play safe udes,0
помощники стали 4 на горе и пиз..ц,0
TIMEEEEEEEEE,0
Меня засветили в F8!,0
sry cant do much more :d,1
you pushing too much,0
FULL LIFE EMIL GO GO GO GO,0
replay send,0
ясно,0
you will get banned gumball,1
Засвет в квадрате E8!!!,0
i think its because what his mom did for me,0
pis aii rep0rt,0
very thanks,0
wait t150,0
back to base,0
т 92 да ты вытащил бой бо ст у нас наркоманы,1
big noob,1
kill the fucking t54e1,0
good choice,0
im working on it,0
277 ПИДР,1
де вас сучар тупих набралося,1
"ach, zdalne... pamiętam zdalną sesję na uczelni, bez problemu szło ściągać xd",0
team ???????,0
lmaooo,0
apes,1
я слева обойду на флаге живите,0
ТЕБЕ КУСТОВ МАЛО,0
gg leo -_-,0
just bot,0
you got this,0
hey dear mediums couldu do ur job and come to fuckin win this side?!?!,1
we lose,0
bunch of shiters,1
cry some more and go play with your Barbies,1
shut ya mouth,1
No cap,0
ok back,0
we had to get cobra,0
your ded...,1
idiot 112,1
w tym obj 705,0
sorry my mistake,0
но,0
you fucking bot,1
"Nastya_bmwe34 (Progetto 65), не мешай стрелять! Уйди с линии огня по противнику!",0
nekem sincs,0
Арта (Объект 261) отстрелялась! По мне :(,0
одна ошибка и я ошибся,0
"damn, we have 3 spg's!?",0
thou more damage for us,0
cobra is reloading,0
Я обнаружен в F3!,0
SHUT UP FCKİNG BOTS,1
behind coming,0
idioten look on map,1
churchill try another game where you play by yourself please,0
char botoks,1
cowards in line k,0
maria,0
nice spotting achilles,0
а тут всі з США,0
kill em before they come close to me,0
faggot VZ,1
0 4,0
*** terrible day,1
wtf how,1
he blinded me but dis not spot lold,0
3 раза ебр светиться,0
they had no hp,0
no pressure,0
I cant rly cover u when they in the dip,0
u can out spot him easy,0
udes first,0
GUYS,0
HAVE NICE BAN :)XD,1
fac this game,1
nicht du der noch lebt,0
reporting IS3,0
Засвет в квадрате J9!!!,0
we are losing 0 line,0
we need to kill the centurion team,0
EBR afk,1
jap,1
wwwwww,0
be hulldown,0
mindenre alkalmatlan volt az angolok ingyen adták az oroszoknak mert beolvasztani iscsak kölcség volt,0
sniper imbecils,0
я за ссср,0
report spoters plse all bot,1
that scout was actually good player,0
2 sshells lef,0
102 u103 os two shots,0
blat nahyja menja k 10 lvl,0
г0 наверноеэ,0
go go go udes,0
ajajajaja,0
but he fight lgbt ; brave man,0
usless dick feeders,1
fucking bot somua,1
gj guys!,0
140 why,0
row,0
Reported,0
"wow, you should be awarded",0
is it kanjpz?,0
"CHEWBACCA_2015 (Lynx 6x6), не мешай стрелять! Уйди с линии огня по противнику!",0
amx spot them jesus,0
lorraine bot,1
lol bouncing,0
ulala,0
hilll,0
blindfire F5 bush guys,0
FFS,1
just play it slow now,0
dobro,0
HTs?,0
LAURA..SORRY...THEY CAN‘T ... COWARDS,1
look more on minimap,0
"Full health jiro, maybe get my back?",0
go after arty?,0
be quiet ...u r dead noob,1
Засвет в квадрате F3!!!,0
help this !!,0
im not your schild shptk,1
Im Spotted at K6! :o But I am wearing a mask! :) I am safe! ;),0
what would happen?,0
popusi mi kurac norgeskriger,1
im out gg gonna hide,0
слава Україні,0
gg tho,0
rape in 15 sec,1
FV OP,0
you just camp lorraine,1
gj hill,0
"Karaoline[GA-DK] (Hellcat), не мешай стрелять! Уйди с линии огня по противнику!",0
we have to keep distance,0
cause of you i miss the hit on the IS_7,0
TOP GUN PLEASE.,0
Enemy SPG ReborWolf (M53/M55) just hit me and is now reloading for about 40.27s.,0
еди бля фуловый,1
lests go farm,0
so ya know,0
gg light...,0
"TheLegentScotty (VK 36.01 H), you are blocking my target!",0
my bad,1
та да,0
is ur mom,1
at7?,0
cap capcapcacp,0
report t29,0
thx Zzzzzzzzzzzzz????,0
fuk pl trash bastards,1
he gave me 2 shots and didnt reload :D,0
this was sarcasm,0
DEFF,0
jebem vam mater idioti,1
nice camo momix,0
udes -100IQ,0
268 don't be scared,0
nmoooo,0
watch my ping,0
jebane kurwy,1
pls kill enemy scout and we will win,0
only him,0
just cap one spot,0
сюдааа,0
WHAT,0
panther m10 stand to k1,0
Im Spotted at G8!,0
i was leting u shot,0
bourrasque - sleeping,1
we need to push,0
gj man,0
gg ebr nice to watch,0
no snipe,0
RHM afk?,0
6 HE‘s left,0
hah bro everythink what you can say its ****** familly?,1
"Skuty_Bernard (HT No. VI), you are blocking my target!",0
Good luck,0
you only shotm the ones who were low,1
fucktard triangule mtf in the back,1
!???=?!?!?!?!,0
"Help me here G3, here is Beer for free!",0
stop being dumb,1
arty moron,1
west is gonna fall,0
kill ebr first,0
какого хера вы на базе тртесь???,1
defender is new td?,0
no meaning to shoot HE at that distance,0
gg grille,0
world of premiums^^,0
hevys full hp camper,1
zjebie tym 260 wypierdalaj,1
t 34 great cammo,0
TS-6 cme donw C4,0
well this started well lol,0
бот,0
iam total happy,0
all defff,0
lite 4 arty,0
enemi 3 shott miss -500hp,0
K line lost,0
bz68,0
wtf u doiing??,1
шотного исм добить арта,0
move up here tds and we all go together,0
go t 28,0
Вам),0
ir not?,0
am 1 shot away,0
no help,1
703 go defend cvap idiot you ahev the best tank,0
all reported somua,0
cs 59 go,0
def a bot,1
why we have 2 shit lights??,1
or scout,0
cover the emil he is nowing what he do.,0
skorp!!!,0
arty kill them,0
fy,1
they are all here,0
gj :),0
RUSSNEA SOSET,1
Засвет в квадрате C9!!!,0
explains your stats,0
i am special,0
i dont get it,0
pussy,1
Засвет в квадрате D7!!!,0
t6 jerk,0
mongerrrr,1
pushhhh,0
cover left,0
report kpz just shot he,0
charioteer there,0
бабаха,0
win is win,0
OMG 2 heavy TD want to camp,0
elc alive,0
yea this kick hard,0
главное не светись,0
WZ!!,0
277 rullz,0
hooj z taka grą jebane lemingi!!!,1
mosy ppl today,0
**** ... sorry,1
blind fire,1
rng aint my friend,0
gaming is not for you,0
what do we have got t10 tanks for when they don‘t have the balls to push,0
i think hes coming for me,0
lol t 34 85 bot ?????,1
"jasne, toxicky cesky kokot",1
you won't do anything anyway,0
норм тебе?,0
at d7,0
lights with brain pls,0
artt cap,0
Pnz4 u fucking idiot,1
this thing is a turtle,1
report 112,0
this is not grille,0
kant killlemall,0
epic round for you :D,0
T56 and T1-03 uninstall,1
to imbecils,1
hill ?,0
"gosh, you wait for the stun to run out before shooting",1
damn arty,0
тяжко было прикрыть мусорм,1
for panther,0
inm previous was fine,0
t28 is afk,0
jebac kurwa rng,1
that manti,1
doing good team,0
that arty can go with 60,0
Vipera,0
need help,0
t29 monky,1
go in *** holl and spot,1
ЛОШЬЕ,1
considering the map,0
no ammo rack,0
total aragent giots,1
we have the hp,0
Im Spotted at K2!,0
ну шо бюлять далеко уехал,0
kv-2 back,0
hill bot,1
go luds,0
mino?,0
"Ah legal , o que eu faço neste mapa com um médio?",0
between maus and him,0
no reason for u heavies to lose,0
shot one shot,0
herrooo,0
2600 dmg i love ebr,0
116 f3??,0
пидоры тупые,1
look what E50m is doing,0
PATTon debil,1
bot leo,1
go load HE,0
"yea, I se that",0
HP?,0
l go also cover me,0
no more chat ban lol,0
thanks guys,0
2222222222,0
im so confused what is going to outspot y ou,0
if they expect scouts to yolo,0
I am spotted in G7!!!,0
much retarded,1
oh no a marsianer,0
popłacz tam sie kurwa jeszcze hahaa,1
Nice support,0
this ELC is too good,0
wtf idiot team,1
о проснулись,0
T26E4 - do you know what you are doing?,0
scared the shit out of me,0
wtf!?!?!,1
bro just shut up,1
daca luam bisonte in loc de renegate da,0
gfucke,1
nice:),0
Fuuuck,1
suck me scared retards,1
what a passive game lol,0
stay below and defend,0
pushhh,0
anda a la rpmqtp,1
ggt,0
this is just rediclohasdophiöfads,1
you are same useless muppet,1
сука чмирі,1
ебать вы сверху прикрываете,1
at trash,0
use y0ur speed,0
пт прикрийте на мосту,0
sry leo,0
thats so stupid,0
705 u r so brainless,1
get in the circle pls,0
get cancer and die asap in a painful death,1
"Do you have periods, girl whiner?",0
i didn't start anything you bot. you blocked me from getting into cover,0
tort gets the hero award,0
balanced,0
ill do,0
great team,0
SHUT UP,1
nice attack morons,1
Manti,0
go on g3 and kill arty,0
H4,0
mit so einem Team geht man auch gerne durch die hölle,1
he knocked he tree,0
so sick of this over tiered crap mm teams,1
ofg,0
spot mid or we lose,0
"Nah, kill all.",0
ali leo spot,0
220 turret,0
тт берите,0
stupid fool STA,1
gl yall :),0
plz delete,1
for spot wz and tnh,0
ffs bots,1
report both lights for bot,1
gg kids 8 yrs,1
never black someone from rear,0
I am the sword. He is the shield,0
taters gonna play,0
get on the cap,0
SUKO,1
2450,0
"Une saloperie me vois, je suis spot Bordel B6!",0
what make the team,0
this your say,0
concept 1b is just not a teamplayer,0
Bravooo again,0
thanks for all the help,0
help i am on side,0
no one?,0
report light no spot,0
2323 насвітив я,0
ujhre jncnhtkzqnt,0
arty? 10 kills lol,0
rush warning,0
asshole su,1
m4 please,0
cromvel idiot,0
yes arty is a misser,0
Арта (AMX 13 F3 AM) отстрелялась! По мне :(,0
i guess he hasnt moved in a long time,0
push mee tanks,0
Hellcat,0
REPORT E50,0
is5,0
grile cep,0
тормоз на крайслере достоялся,0
no shot,0
can't see him,0
what do we have down the 1 and 2 lines?,0
АРТА НАША ПИЗДОВАТАЯ,1
so good man.,0
ill go around,0
sane*,0
nice!,0
fu retard,1
HELP,0
wtf leopard was farming me like crazy and all shells were bouncing on the z,1
stai low,0
2 TD,0
я живу в Украине так что я лох по жизни,1
i need to kill td,0
на карту сморите сука,1
get in the fight,0
damned sry,0
slepe guwno,1
I love it when Kv-2's dnt aim,0
1 ap left...,0
their strv was on open field too and he didnt shot him,0
from one site to the other takes 3 minutes for me with turbo,0
ARE YOU MORON OR BLIND?,1
i was on the hill,0
3.4 spotting xD,0
арта добей,0
didn;t even have the time to write ac4 do not fuck up like your usula,1
"DO NOT BUY LIGHT TANKS IF YOU ARE NOT INTENDING TO SPOT, YOUR PARTICIPATION IN THE BATTLE DOESN'T END AT THE FIRST BUSH OR BEHIND THE FIRST",0
go kyss,1
okey :D,0
gg team :P,0
idiot vk,1
tru arta,0
arty hold on my flank,0
smooth brain ape,1
amx stay alive,0
Засвет в квадрате D2!!!,0
if u dont spot out this side we r fucked,1
gah,0
matilda go mobsspeed,0
arty mooove,0
5 minut in same position,0
at our cap,0
jesus\,0
brilliant,0
it ok,0
оба шотные,0
*** noob,1
td stupid,1
let him,0
but also its stacked with good crew,0
almost f*cking cost me,1
its part of wots problem,1
go help 907 centurion bot,0
stop cry babe,1
please can i do fadin?????,0
go gg mates,0
team lol :),0
ratana fuck you,1
100% bot you are caernavon,1
jebane debile,1
ammo end,0
about time bat chat,0
do not shot+,0
мндленный епта,1
rly team,0
prageyyo report bot,1
DELETE GAME BOT,1
eh :(,0
just wait some time,0
rly pathetic,1
leotard,0
artys,0
Im gonna die Lol,0
fack u,1
why do guys push river rd early,0
i heve brother,0
krasava,0
I reported that idiiot,0
Replay go to Support,0
F my life maaaan,1
на Е100,0
blind shot,0
kur....bot,1
PUUUUUUSHW,0
gj guys thx a lot,0
fukin mongols,1
opravil jsem to,0
emil is blacklisted :) you now why:),1
stock is,0
hi all,0
thxp44,0
сука долбпебы,1
Ah so you're noob too,1
"fhnf? cerf? RD pf,thb",0
u are so *** bad,1
push now,0
idioten,1
time has gone,0
FIGHT TO THE LAST,0
how you have it ?,0
ГГ,0
gc,0
Але,0
these spawns are pretty bad,0
fck no ap left,1
both arties,0
TRI go for their base,0
all push hill pls,0
yolo char futur,0
retard bot,1
dont learn,0
лт молодец,0
or maus is better choice?,0
18 team,0
lai,0
where are you from?,0
go hide,0
why you didnt shoot?,0
rgr,0
"kowkacper_1 (BZ-68), you are blocking my target!",0
9k,0
they need to coem,0
I‘ve been spotted in D5!,0
looking at bulidings,0
430 idiot...,1
"but stupid you are, since you were excusing him",1
fucking fantastic HE,1
and dead,0
my shot missed the damn BC,1
spot them coming,0
so much camping,1
valentine defeat,0
Honor and glory nashorn,0
the bushes have eyes,0
line 0 push,0
ya I was shooting blanks as well,0
thank god this is over,0
ahhh,0
T29 are you going to play today?,0
no amo,0
gj ebr,0
im going spot at 3min,0
cap 54,0
elc spot,0
how can he get away ffs,1
thx for no help,1
just a shitter crying makes me lose my erection,1
im flipped,0
scorpio afk,0
FU polak noob,1
Enemy SPG blunderbus_1 (105 leFH18B2) just hit me and is now reloading for about 8.92s.,0
u camping here,0
still exploring map,0
gj IS,0
as well as standrad b,0
GO CITY AMX,0
rest kill elc,0
need an arty to hit these targets...,0
fy mongoid kids team,1
fucking morons,1
better 13 90,0
rerport ebr,0
i know but thnx,0
500 dmg,0
3 stooges time,0
занято там,0
base no D2!!!,0
albo palił co,0
too busy hiding?,1
come on guys...,0
n ocap,0
why the fuck you take tank destroyer position and dont do anything,1
Арта M12 отстрелялась по мне нанесла 50 урона! Перезаряжается 25.59сек.,0
churchill you are the best idiot in this game,1
fk noobs,1
great run,0
you are fucking fulkl hp,1
t34 help man,0
cap??,0
sir?,0
amd ur pissing me off,1
REEEEEEEEEEEEEE,0
gg progetto,0
у тебя хоть рикошетный,0
kill that tree pls,0
jesus christ,0
they dumb,1
absolute clown fiesta,0
"Help me here E1, here is Beer for free!",0
какой план,0
mikro,0
Меня засветили в E3!,0
blind cunts,1
stb move sot,0
tre down,0
"HO-RI is there, loaded with gold",0
lost as usual?,1
i hope you die,1
bait shot crusader,0
def only,0
this side dow,0
Арта (Lorraine 155 mle. 51) отстрелялась! По мне :(,0
Bones,0
121B,0
idiot e 100,1
da?,0
2x bounce Emil,0
manti,0
fcking domination...,1
sorry wes reloading,0
shoot ther,0
캡안하네 ᄏᄏ,0
"vladimir645 (Pz.Kpfw. VII), не мешай стрелять! Уйди с линии огня по противнику!",0
and just for you will know firstly I wasnt talking an ??out you achi... but know I know both of you are morons,0
juzek nie ruszaj się,0
we‘re not as fast as you lol,0
tiger 1 bot report,1
ты откуда вылезло? чучело,0
stupid monogl with I8Q0,1
ns spot,0
such a shitty round,0
ты снежинку тупая ),1
rep ebr,0
moitas,0
go for spg light,0
kpz wtf?,1
...ow,0
odds on a draw?,0
tf hts,1
HOW ARE WE LOSING THIS,0
Cn,0
6 shells left,0
just idiots,1
nice gg,0
MONKEYS A PLAY WITH YOUR FUCKER MOM ALL REP`T,1
T-832 stay def,0
wz you can stop hiding now,0
gg E25,0
I've been spotted in F10!,0
MOVE IDIOTS!!!!!!!!!!!,1
252u the same shit,1
выучи сначала питушня позийшены на лт и где светить а потом пизди чтото,0
ЕБЛО ОФФНИ,1
I keep bouncing... on his side...,0
i cant fight them alone guys,0
спасибо,0
do not jinx it guys,0
saty alive,0
why :D,0
nice chaffee,0
move you fuckin retard,1
its on youtube also,0
elc...,0
nothing new,0
our arty idiot,1
hitler just wanted to prevent people like this nigger,1
verdammte dreckshurensoehne,1
can you kill it ?,0
Im Spotted at B9!,0
e25 dangerous,0
"sleep some mate, its late",0
all report the retard proggetoo and black listed,1
go smv,0
very good BZ :-),0
i want help but i cant,0
SUPERHELL,0
:D:D:,0
WZ played well,0
"5,7k damage!!!",0
T30 bot,0
why go base?,0
gg 777,0
omg!!!!!!!!!!!!!!!!!!!,0
come closer,0
manticore,0
Sorry I screwed up,0
go 3 min,0
well,0
anyadat,0
o.k.,0
type 58 help at7,0
RU,0
An enemy has spotted me at A5.,0
ok bot,1
расклад полностью против победы...,1
shp,0
10 kill,0
Sch. W,1
thx idiots,1
bravo!,0
Have fun. God bless.,0
391 and 383 on my 490 alpha gun,0
i love...,0
i have in ass your 3 mark,1
autoloader?,0
noob retard team,1
66,0
the others bought more boxes,0
"reportarty666 (Kpz 07 RH), you are blocking my target!",0
lights??,0
ahptk there,0
back morons,1
omg learn aim,0
"hey team, just wanted to let you know that i might be dealing with some lag during this game.",0
we did all the work,0
time to go,0
gooooodd,0
we need hill ot's important,0
jgpz,0
he's scouting,0
C1 AND B2,0
"I TD, SHUT UP RAINBOW WEST EUROPIANS",1
sorry we are not *** like you,1
